                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.72902,                 1.1582,                0.48751,                 1.0939,                0.98092,                0.98184,                0.98455,                0.88026,                0.98092,                0.98184,                0.98455,                0.85656,                0.64544,                0.97026,                0.49617,                 1.0999,             0.00099862,             0.00099862,             0.00099862
                     84,                0.69751,                 1.1459,                0.48292,                 1.0648,                0.97971,                0.98009,                0.98591,                0.88963,                0.97971,                0.98009,                0.98591,                0.86152,                0.66827,                0.96585,                0.51026,                 1.1056,             0.00099036,             0.00099036,             0.00099036
                     85,                0.69537,                 1.1232,                0.47472,                  1.073,                0.97364,                0.98098,                0.98123,                0.89383,                0.97364,                0.98098,                0.98123,                 0.8637,                0.56957,                0.93487,                0.48551,                 1.0851,             0.00098211,             0.00098211,             0.00098211
                     86,                0.68568,                 1.1107,                0.44167,                 1.0495,                0.97049,                0.98462,                 0.9858,                 0.8934,                0.97049,                0.98462,                 0.9858,                0.87617,                0.54081,                0.87407,                0.46589,                 1.0397,             0.00097386,             0.00097386,             0.00097386
                     87,                0.70211,                 1.1423,                 0.4776,                 1.0746,                 0.9639,                0.98413,                0.98786,                0.88833,                 0.9639,                0.98413,                0.98786,                0.87691,                0.58567,                 0.9016,                0.51814,                 1.0627,             0.00096561,             0.00096561,             0.00096561
                     88,                 0.6952,                 1.1184,                0.45006,                 1.0685,                0.91725,                0.98674,                0.97718,                0.88827,                0.91725,                0.98674,                0.97718,                0.87481,                0.56924,                0.94793,                0.54766,                 1.0768,             0.00095736,             0.00095736,             0.00095736
                     89,                0.68724,                 1.1035,                0.45759,                 1.0784,                0.91452,                0.99206,                 0.9881,                0.88971,                0.91452,                0.99206,                 0.9881,                0.87887,                0.59387,                0.93182,                 0.5462,                 1.1083,             0.00094911,             0.00094911,             0.00094911
                     90,                0.71743,                 1.1288,                0.48238,                 1.0937,                 0.9483,                0.92923,                0.98021,                0.84844,                0.95564,                0.93717,                0.98211,                0.87273,                 0.6237,                0.87551,                 0.5403,                 1.1358,             0.00094085,             0.00094085,             0.00094085
                     91,                0.71191,                 1.1302,                0.48254,                 1.0943,                0.95651,                 0.9504,                0.98103,                0.87254,                0.95651,                 0.9504,                 0.9812,                0.88277,                0.56311,                0.85924,                0.47869,                 1.0698,              0.0009326,              0.0009326,              0.0009326
                     92,                 0.6863,                  1.108,                0.46503,                 1.0778,                0.97643,                0.97364,                0.98909,                0.87461,                0.97643,                0.97364,                0.98909,                0.88183,                0.60923,                0.85918,                0.48511,                 1.0859,             0.00092435,             0.00092435,             0.00092435
